GEOID,map_id,borough,population,poverty_rate,income,lat_t,lon_t,providers,provider_time_weight_sum,avg_provider_time_weight,density,z_density,min_dist,inv_dist,z_access_map,FI,FI2,fragmentation_index,FI_combined,frag_q,surface_version,_ID
36081053800,36081053800,Queens,1714,0.20235294,121034,40.7064789,-73.7425304,0,0,0,0,0.1993578175,0.008872300325,9.18507276,-0.8224443033,0.8224443033,1.021802121,0.6759365004,0.6759365004,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1766
36081053901,36081053901,Queens,4129,0.14074612,91027,40.7102102,-73.9178042,1,0.2380952388,0.2380952388,5.766414115e-05,0.03305851139,0.004502709367,9.569129892,0.1493620828,-0.1493620828,-0.1163035714,-0.07693645122,-0.07693645122,Moderate-low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,712
36081053902,36081053902,Queens,27,0.85185188,,40.7113165,-73.9132248,0,0,0,0,0.1993578175,0.004548613161,9.564928408,0.1387307755,-0.1387307755,0.06062704202,0.04010564255,0.04010564255,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1373
36081054000,36081054000,Queens,4325,0.13965318,102174,40.7127947,-73.7432243,0,0,0,0,0.1993578175,0.004479429583,9.571262056,0.1547572451,-0.1547572451,0.04460057235,0.02950390705,0.02950390705,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,362
36081054200,36081054200,Queens,5520,0.18980964,94125,40.7190741,-73.7464902,0,0,0,0,0.1993578175,0.005580653759,9.471432165,-0.09784924906,0.09784924906,0.2972070665,0.1966066623,0.1966066623,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,403
36081054500,36081054500,Queens,3675,0.18639456,66076,40.7055479,-73.9126214,0,0,0,0,0.1993578175,0.002492934365,9.756770125,0.6241611712,-0.6241611712,-0.4248033538,-0.2810134041,-0.2810134041,Low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,402
36081054700,36081054700,Queens,5210,0.16880591,119732,40.7036294,-73.9097111,0,0,0,0,0.1993578175,0.004718358238,9.549423968,0.09949881601,-0.09949881601,0.09985900147,0.06605813652,0.06605813652,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,404
36081054800,36081054800,Queens,2382,0.131822,84601,40.7231977,-73.7512827,0,0,0,0,0.1993578175,0.01060461267,9.041214248,-1.186459468,1.186459468,1.385817286,0.916737661,0.916737661,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,405
36081054900,36081054900,Queens,5287,0.15534724,104821,40.702191,-73.9078131,0,0,0,0,0.1993578175,0.00281090338,9.726594818,0.5478064997,-0.5478064997,-0.3484486822,-0.2305037131,-0.2305037131,Moderate-low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,2000
36081055100,36081055100,Queens,4363,0.12675397,80268,40.7015951,-73.9039117,1,0.2380952388,0.2380952388,5.457145056e-05,0.04197761238,0.001654314985,9.837260722,0.827832109,-0.827832109,-0.7858544966,-0.5198538224,-0.5198538224,Low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1757
36081055200,36081055200,Queens,2913,0.23668639,71213,40.7277874,-73.7496567,0,0,0,0,0.1993578175,0.006578875026,9.382722418,-0.3223176709,0.3223176709,0.5216754884,0.3450956861,0.3450956861,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,438
36081055300,36081055300,Queens,2911,0.18069392,90114,40.6989501,-73.9065464,1,0.2380952388,0.2380952388,8.179156263e-05,-0.03652326629,0.002905304394,9.717672047,0.5252285949,-0.5252285949,-0.5617518612,-0.3716067715,-0.3716067715,Low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,443
36081055400,36081055400,Queens,2599,0.18622547,89375,40.7277903,-73.7401593,0,0,0,0,0.1993578175,0.003899258833,9.624707734,0.2899945481,-0.2899945481,-0.09063673064,-0.05995747442,-0.05995747442,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,444
36081055500,36081055500,Queens,2295,0.18466285,86667,40.6972245,-73.9032791,0,0,0,0,0.1993578175,0.002771586781,9.730315852,0.5572220916,-0.5572220916,-0.3578642741,-0.2367322597,-0.2367322597,Moderate-low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,445
36081055600,36081055600,Queens,2233,0.19614868,135052,40.7255507,-73.7450034,0,0,0,0,0.1993578175,0.005246921081,9.501465598,-0.0218535699,0.0218535699,0.2212113874,0.1463344497,0.1463344497,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,2030
36081055700,36081055700,Queens,3386,0.18487892,101636,40.6986893,-73.8983148,1,0.2678571343,0.2678571343,7.910724582e-05,-0.02878188641,0.001817847055,9.821460863,0.7878526309,-0.7878526309,-0.8166345173,-0.5402152398,-0.5402152398,Low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,446
36081055800,36081055800,Queens,1649,0.206792,78672,40.7225337,-73.7417049,0,0,0,0,0.1993578175,0.005674623285,9.46300984,-0.119160841,0.119160841,0.3185186585,0.2107045806,0.2107045806,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,447
36081055900,36081055900,Queens,1129,0.24092117,70481,40.6944037,-73.9017315,0,0,0,0,0.1993578175,0.004529318392,9.566693971,0.1431983017,-0.1431983017,0.05615951576,0.03715031098,0.03715031098,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,434
36081056000,36081056000,Queens,1695,0.1964497,139615,40.7254352,-73.7365634,0,0,0,0,0.1993578175,0.00810457567,9.250302254,-0.6573895915,0.6573895915,0.856747409,0.5667504829,0.5667504829,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,2012
36081056200,36081056200,Queens,1399,0.20443174,102125,40.7246382,-73.7331947,0,0,0,0,0.1993578175,0.01127318378,8.986891235,-1.323916754,1.323916754,1.523274572,1.007667593,1.007667593,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1779
36081056400,36081056400,Queens,1580,0.21202531,95000,40.7215555,-73.7334033,0,0,0,0,0.1993578175,0.009237161376,9.154393866,-0.9000732356,0.9000732356,1.099431053,0.7272891329,0.7272891329,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1981
36081056500,36081056500,Queens,1850,0.16864865,129647,40.6942629,-73.8968742,0,0,0,0,0.1993578175,0.002857205212,9.722216328,0.536727305,-0.536727305,-0.3373694875,-0.2231746696,-0.2231746696,Moderate-low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,436
36081056600,36081056600,Queens,1546,0.2755498,71974,40.7197386,-73.7384034,0,0,0,0,0.1993578175,0.004122488752,9.604073164,0.2377814664,-0.2377814664,-0.03842364889,-0.02541778514,-0.02541778514,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,650
